destinasi,review,sentiment,text_cleaned,sent_num
makam sunan kalijaga,"Sebenarnya ngapain Juga Absen buat apa ya fungsinya,terus infaq absen seikhlasnya dan diatas meja sama orangnya ditaruh uang 50 dan 100rban apa buat pancingan? Terus ada beberapa kotak amal yg dijaga dan dietok2 berisik sekali, kalau orang niat infaq pasti infaq g harus berisik seikhlasnya. Masuk infaq, absen infaq, minum infaq, titip sandal infaq. Cobalah belajar dari pengurus makan Sunan Ampel. Yang g sebegitunya.",Negative,mengapai absen ya fungsinya infaq absen seikhlasnya diatas meja orangnya ditaruh uang rban pancingan kotak amal dijaga dietok berisik orang niat infaq infaq berisik seikhlasnya masuk infaq absen infaq minum infaq titip sandal infaq cobalah belajar pengurus makan sunan ampel sebegitunya,0.0
makam sunan kalijaga,Panitia kurang bersahabat.. salbuut,Negative,panitia kurang bersahabat salbuut,0.0
makam sunan kalijaga,"Berkali-kali kesini
Yg paling aku tdk suka kenapa saat mau masuk kita diteriaki untuk absen.Padahal aku sendirian.Teriak-teriak panggil kayak pencuri saja.Kalau aku rombongan sich tak masalah absen.Lha ini 1 orang saja disuruh absen.Habis absen disuruh mengisi infaq.Padahal diWali-wali yg lain tak seperti itu.Biasanya kalau rombongan otomatis kita absen.Tapi kalau cuman sendiri atau 2 orang ya tak harus absen.",Negative,berkali kali kesini tidak suka masuk diteriaki absen teriak teriak panggil kayak pencuri rombongan tak absen orang disuruh absen habis absen disuruh mengisi infaq diwali wali tak rombongan otomatis absen cuman orang ya tak absen,0.0
makam sunan kalijaga,Tempat berzikir yang sahdu,Positive,berzikir sahdu,1.0
makam sunan kalijaga,Ramai pengunjung dan pedang yang antusis dalam berdang juga ramah,Positive,ramai pengunjung pedang antusis berdang ramah,1.0
makam sunan kalijaga,Masya allah,Positive,masya allah,1.0
makam sunan kalijaga,"tempat ziarah salah satu walisongo yang berada di Demak, tidak begitu jauh dari Semarang, jadi bisa sering kesini. kalo kesini jangan lupa bawa botol kosong buat bawa pulang air barokah, bisa minum langsung juga. sayangnya terlalu banyak pungutan (daftar pengunjung, penitipan sandal, dll). sepanjang jalan masuk (kalo lewat depan) ada banyak pedagang yang menjual oleh - oleh, baik kaos, perhiasan, sarung, dll.",Negative,ziarah salah walisongo demak tidak semarang kesini kalo kesini jangan lupa bawa botol kosong bawa pulang air barokah minum langsung sayangnya pungutan daftar pengunjung penitipan sandal dll jalan masuk kalo pedagang menjual kaos perhiasan sarung dll,0.0
makam sunan kalijaga,"Malam Keramat yg penuh keberkahan, Dari Salah satu Rajanya Sufi di Indonesia",Positive,malam keramat penuh keberkahan salah rajanya sufi indonesia,1.0
makam sunan kalijaga,Selalu ramai peziarah,Positive,ramai peziarah,1.0
makam sunan kalijaga,"Tempatnya nyaman, solat subuh disini",Positive,tempatnya nyaman solat subuh,1.0
makam sunan kalijaga,Area makam dan masjid luas. Area pasar oleh- oleh bersih dan tertata rapi. Saat kunjungan ramai bisa mendapatkan tempat parkir yang agak jauh dari area wisata,Negative,area makam masjid luas area pasar bersih tertata rapi kunjungan ramai parkir area wisata,0.0
makam sunan kalijaga,Tempat sakral,Positive,sakral,1.0
makam sunan kalijaga,"Sunan Kalijaga merupakan salah satu wali songo penyebar agama Islam di Jawa dan di makamkan di Kadilangu Demak.
Situs sejarah ini dapat di lihat dari makam makam yang ada dan silsilah turun temurun yang dapat di lihat di ruang administrasi.
Perawatan area lokasi sudah sangat bagus akan tetapi akan lebih bagus lagi kalau kompleks tersebut di perluas lagi halaman nya seperti masjid Demak.
Khusus hari libur sekolah maupun umum wisata religius penuh sekali.
Peninggalan sejarah sangat penting untuk menjaga kelestariannya....",Positive,sunan kalijaga salah wali songo penyebar agama islam jawa makamkan kadilangu demak situs sejarah lihat makam makam silsilah turun temurun lihat ruang administrasi perawatan area lokasi bagus bagus kompleks perluas halaman masjid demak khusus libur sekolah wisata religius penuh peninggalan sejarah menjaga kelestariannya,1.0
makam sunan kalijaga,"Alhamdulillah Saget Silaturroh Wal Jazad Simbah Kanjeng Sunan Kalijaga Demak...
Semoga Berkah Dunyo ila Jannah AL Fatihah",Positive,alhamdulillah saget silaturroh wal jazad simbah kanjeng sunan kalijaga demak semoga berkah dunyo ila jannah al fatihah,1.0
makam sunan kalijaga,"Sangat sukkkaaa ziarah ke Sunan Kalijaga, setelah ziarah kuliner wedang ronde di sebelah selatan masjid Kadilangu. Sering ke sini karena punya kisah perjuangan bersama suami untuk mendapatkan garis biru 2.",Positive,sukkkaaa ziarah sunan kalijaga ziarah kuliner wedang ronde sebelah selatan masjid kadilangu kisah perjuangan suami garis biru,1.0
makam sunan kalijaga,Sumpah pedagang pedagang nya bisa di kondisi kan ngga bisa bisa nya bawa gratis pas pulang bayar terus marak jga pengemis,Negative,sumpah pedagang pedagang kondisi bawa gratis pas pulang bayar marak pengemis,0.0
makam sunan kalijaga,Bagus & petugas nya siap membantu pengguna kursi roda,Positive,bagus petugas membantu pengguna kursi roda,1.0
makam sunan kalijaga,Ziarah Makam Sunan Kalijaga dan bertepatan dengan Haul,Positive,ziarah makam sunan kalijaga bertepatan haul,1.0
makam sunan kalijaga,"ALHAMDULILLAH ROMBONGAN JAMAAH ZIAROH WALISONGO PP NURUL QODIRI & PP NUR ALIF YANG BERJUMLAH 5 BUS SAMPUN BERZIARAH DIMAKAM SUNAN KALIJOGO ( RADEN SAID )

Selasa ,  19 NOVEMBER 2024
....
..
__________________
Support & Ikuti kami di
Facebook : Nurul Qodiri Pesantrenku
Instagram : @nurul.qodiri_pesantrenku
Youtube : NURUL QODIRI Pesantrenku

__________________
#ppnq #nurulqodiripesantrenku #pondokpesantren #nurulqodiri #lampungtengah
#santri
#reel
#fyp
#pesantren
#SUNANKALIJOGO
#KADILANGU",Positive,alhamdulillah rombongan jamaah ziaroh walisongo pp nurul qodiri pp nur alif bus sampun berziarah dimakam sunan kalijogo raden said selasa november __________________ support ikuti facebook nurul qodiri pesantrenku instagram qodiri_pesantrenku youtube nurul qodiri pesantrenku __________________,1.0
makam sunan kalijaga,"Nuansa keberkahannya ngena banget, doa kebaikan untuk Kanjeng Sunan.",Positive,nuansa keberkahannya ngena banget doa kebaikan kanjeng sunan,1.0
makam sunan kalijaga,"Tanpa direncana sepulang dari jepara mampir ziarah disini, parkir dibagian belakang krn lebih dekat ke area makam, banyak sekali peziarahnya, sblm masuk ke makam ngisi buku tamu dan memberi infaq sukarela, tersedia qur'an dan buku yasin diarea makam bisa digunakan jk lupa membawa qur'an atau buku yasin.banyak peragang oleh2 di area makam, smga lain waktu bs singgah disini lagi",Positive,tanpa direncana sepulang jepara mampir ziarah parkir dibagian area makam peziarahnya masuk makam ngisi buku tamu infaq sukarela tersedia qur an buku yasin diarea makam lupa membawa qur an buku yasin peragang area makam semoga singgah,1.0
makam sunan kalijaga,Wisata makam religi unggulan,Positive,wisata makam religi unggulan,1.0
makam sunan kalijaga,Seru sih... Adem ayem.,Positive,seru adem ayem,1.0
makam sunan kalijaga,Masuk area makam di tanya dari daerah mana cuma beda kabupaten disuruh laporan dulu sam petugas disuruh kasih infaq seikhlasnya aku hilang nanti pas pulang beneran dong di cegat sampe hafal nama daerahku padahal baru pertama ketemu astagaaaa padahal di makam sunan yang lain ga kayak gitu,Negative,masuk area makam daerah beda kabupaten disuruh laporan petugas disuruh kasih infaq seikhlasnya hilang pas pulang benaran cegat hafal nama daerahku ketemu astaga makam sunan kayak,0.0
makam sunan kalijaga,"salah satu makam walisongo. letaknya ngga terlalu jauh dari masjid agung demak. kalo dari arah barat enak aksesnya lewat jalan lingkar demak. hari sabtu malam cukup ramai. banyak rombongan mobil dan bus. kalo parkir mobil enak langsung di depan masjid sunan kalijaga biar langsung masuk, ngga terlalu jalan jauh. tapi tenang aja kalo misal naik bus dan ngga mau jalan jauh juga ada banyak bapak ojek yang siap mengantar sampai pintu masuk.

sepanjang jalan dari pintu masuk sampai makam itu kanan kirinya banyak penjual oleh-oleh, makanan, aksesoris. pintu masuk dan pintu keluar beda, jadi aman ngga akan desak-desakan antara peziarah yang masuk dan keluar.",Positive,salah makam walisongo letaknya masjid agung demak kalo arah barat enak aksesnya jalan lingkar demak sabtu malam ramai rombongan mobil bus kalo parkir mobil enak langsung masjid sunan kalijaga biar langsung masuk jalan tenang kalo bus jalan ojek mengantar pintu masuk jalan pintu masuk makam kanan kirinya penjual makanan aksesoris pintu masuk pintu beda aman desak desakan peziarah masuk,1.0
makam sunan kalijaga,"Masya Allah Tabarokallah, bisa silaturahmi ke Makam Kanjeng Sunan Kali Jaga..",Positive,masya allah tabarokallah silaturahmi makam kanjeng sunan kali jaga,1.0
makam sunan kalijaga,"Makam Sunan Kalijaga merupakan salah satu tempat pemakaman Walisanga yang memiliki jasa dalam penyebaran Agama Islam, khususnya di Pulau Jawa. Makam ini terletak di Desa Kadilangu, Demak, Jawa Tengah. Setiap hari tempat ini selalu ramai dikunjungi oleh peziarah kecuali idul fitri dan idul adha. Setiap hari tertentu, pintu menuju cungkup makam Sunan Kalijaga dibuka untuk peziarah sehingga bisa mendoakan dari dekat. Untuk masuk ke dalam area makam ini gratis, namun apabila terdapat rombongan, perlu mendaftarkan diri dengan menuju pengurus terlebih dahulu. Tempat ini sudah memiliki banyak perubahan sejak awal didirikan. Namun manajemen pengelolaan masih kurang, sehingga masih perlu diperbaiki lagi agar lebih efisien, inovatif, dan juga bersih. Sehingga peziarah akan merasa nyaman dalam melakukan ibadah dan doa.",Negative,makam sunan kalijaga salah pemakaman walisanga memiliki jasa penyebaran agama islam pulau jawa makam terletak desa kadilangu demak jawa ramai dikunjungi peziarah kecuali idul fitri idul adha pintu cungkup makam sunan kalijaga dibuka peziarah mendoakan masuk area makam gratis rombongan mendaftarkan pengurus memiliki perubahan didirikan manajemen pengelolaan kurang diperbaiki efisien inovatif bersih peziarah nyaman ibadah doa,0.0
makam sunan kalijaga,"Mohon dibenahi untuk kebersihan, keramahan, ketertiban dan kenyamanan nya.

Berhubung banyaknya uang sedekah dari jamaah. Harusnya tempat lebih bersih, petugas lebih ramah, lebih tertib dan lebih nyaman.

Di mulai dari arah jalan pintu masuk, harus bersih dari pengemis.

Di depan pintu masuk, harus disediakan rak sandal untuk jamaah.

Masuk areal makam diharuskan lepas sandal, tapi syg nya areal makam kotor. Seperti sia2 kalo lepas sandal.

Petugas ga perlu teriak2, karena jamaah pun punya telinga. Mohon yg ramah.

Terakhir ga perlu mukul2 kotak amal, tanpa disuruh pun jamaah akan sedekah seikhlasnya.",Negative,mohon dibenahi kebersihan keramahan ketertiban kenyamanan berhubung banyaknya uang sedekah jamaah bersih petugas ramah tertib nyaman arah jalan pintu masuk bersih pengemis pintu masuk disediakan rak sandal jamaah masuk areal makam diharuskan lepas sandal sayang areal makam kotor sia kalo lepas sandal petugas teriak jamaah telinga mohon ramah mukul kotak amal tanpa disuruh jamaah sedekah seikhlasnya,0.0
makam sunan kalijaga,Jalan dr tempat parkir bis tidak jauh dan tidak perlu naik ojeg. Tertib bersih bergantian di lokasi makam....,Positive,jalan parkir bis tidak tidak ojeg tertib bersih bergantian lokasi makam,1.0
makam sunan kalijaga,"Kenapa sih dipintu masuk harus ada banyak bapak2? Buat menghadang dan memaksa pengunjung buat isi buku tamu? Ya kalau kita sebagai pengunjung dianggap tamu harusnya kan ngga dibentak2 pak. Ya memang tujuannya buat mengisi daftar tamu, tapi kenapa harus ada sumbangan seikhlasnya? Memangnya nyumbang harus dikasih tau nominalnya? Ngga kan. Kita sebagai pengunjung juga memberikan sumbangan ke kotak2 yg ada disepanjang jalan pak. Nitip sandal juga sudah bayar seikhlasnya. Minum air dipintu keluar juga menyumbang seikhlasnya. Emang harus banget dibentak2? Bapak saya aja gk pernah bentak2 saya pakkkkkk. Untung bapak saya ngga ikut, kalo ikut beneran jadi ribut ini mah",Negative,dipintu masuk menghadang memaksa pengunjung isi buku tamu ya pengunjung dianggap tamu dibentak ya tujuannya mengisi daftar tamu sumbangan seikhlasnya memangnya nyumbang dikasih tau nominalnya pengunjung sumbangan kotak disepanjang jalan nitip sandal bayar seikhlasnya minum air dipintu menyumbang seikhlasnya banget dibentak bentak pakkkkkk untung kalo benaran ribut mah,0.0
makam sunan kalijaga,Alhamdulillah,Positive,alhamdulillah,1.0
makam sunan kalijaga,"Tanggal 26 agustus 2024, Datang untuk ngalap berkah, dihadang buat nulis buku tamu atau apalah itu, tidak nyaman karena ada unsur paksaan dan ancaman tidak boleh ziarah kalau tidak laporan buku tamu, akan saya ingat2 wajah bapak2 yang membentak saya dihadapan orang banyak, tidak nulis buku tamu kalau mengisi kotak2 sepanjang jalan sama saja sedekah kan? Perkataan bapak2 itu akan saya ingat sampai kapan pun ""GA LAPORAN GA BOLEH ZIARAH"" sejak kapan ada aturan seperti itu? Kalau diwajibkan lebih baik dari pintu masuk paling selatan di bangun seperti pembelian tiket pak, semoga rezekimu lancar terus ya pak",Negative,tanggal agustus ngalap berkah dihadang menulis buku tamu apalah tidak nyaman unsur paksaan ancaman tidak ziarah tidak laporan buku tamu wajah membentak dihadapan orang tidak menulis buku tamu mengisi kotak jalan sedekah perkataan laporan ziarah aturan diwajibkan pintu masuk selatan bangun pembelian tiket semoga rezekimu lancar ya,0.0
makam sunan kalijaga,"Bersih, luas",Positive,bersih luas,1.0
makam sunan kalijaga,"Salah satu makam wali songo yang terletak di demak jawa tengah..

Fasilitas pe ziarah lengkap.. banyak toilet kamar mandi..
Tempatnya luas.. banyak penjual oleh oleh di awal masuk lokasi peziarah..

Makanan pun relatif murah bagi peziarah..

Sediakan infaq karna masuk tidak dikenakan tiket masuk..",Positive,salah makam wali songo terletak demak jawa fasilitas pe ziarah lengkap toilet kamar mandi tempatnya luas penjual masuk lokasi peziarah makanan relatif murah peziarah sediakan infaq masuk tidak dikenakan tiket masuk,1.0
makam sunan kalijaga,Bagus,Positive,bagus,1.0
makam sunan kalijaga,Alhamdulillah THN ini bisa ziaroh kemakam sunan Kalijaga,Positive,alhamdulillah ziaroh kemakam sunan kalijaga,1.0
makam sunan kalijaga,"Salah satu tujuan wisata religi Walisongo, Sunan Kalijaga|| jalan kaki gak terlalu jauh dari parkiran, di kanan kiri jalan banyak yg jual oleh-oleh || area makam cukup luas, rombongan banyak orang oke aja || ada masjidnya di dalam",Positive,salah tujuan wisata religi walisongo sunan kalijaga jalan kaki parkiran kanan kiri jalan jual area makam luas rombongan orang oke masjidnya,1.0
makam sunan kalijaga,Salah satu tempat yg Ikonik dan Religius di Demak,Positive,salah ikonik religius demak,1.0
makam sunan kalijaga,"Plusnya memang tidak terlalu ramai tapi sedikit saran, berhubung tdk terlalu ramai seharusnya area makam & sekitar bersih dan rapi, sedangkan disini beberapa kali tercium aroma sampah dan di area makam banyak bungkus permen kecil-kecil & sedikit berdebu

Dan minusnya administrasinya sedikit ribet & membuat pengunjung canggung tdk seperti di sunan kudus yg area makamnya sangat bersih & administrasi yg nyaman, teratur & membuat pengunjung merasa legowo",Negative,plusnya tidak ramai saran berhubung tidak ramai area makam bersih rapi kali tercium aroma sampah area makam bungkus permen berdebu minusnya administrasinya ribet pengunjung canggung tidak sunan kudus area makamnya bersih administrasi nyaman teratur pengunjung legowo,0.0
makam sunan kalijaga,"Niat mau bertawassul ngalap berkah Mbah sunan, tapi dihadang preman berkedok minta sedekah sama nulis buku tamu...
Kami juga akan bersedekah, tapi jika perlakuannya seperti itu apalagi dari luar kota, mengubah sudut pandang kami ttg Kadilangu!",Negative,niat bertawassul ngalap berkah mbah sunan dihadang preman berkedok sedekah menulis buku tamu bersedekah perlakuannya kota mengubah sudut pandang kadilangu,0.0
makam sunan kalijaga,"Nyaman untuk ziarah yg mandiri, nyaman tempat istirahatnya",Positive,nyaman ziarah mandiri nyaman istirahatnya,1.0
makam sunan kalijaga,Tempat nya luas nyaman bersih dan mengenang makom2 Aulia illah,Positive,luas nyaman bersih mengenang makom aulia illah,1.0
makam sunan kalijaga,Saya sangat terkesan berziarah di makam sunan Kalijaga,Positive,terkesan berziarah makam sunan kalijaga,1.0
makam sunan kalijaga,"Tempat berkaromah, sarana menghadap yang Kuasa",Positive,berkaromah sarana menghadap kuasa,1.0
makam sunan kalijaga,Masya Allah tabarakallah Alhamdulillah banget bisa mengunjungi salah satu makam wali Allah dari dulu pengen banget ke makam salah satu wali akhir nya dikabulkan juga pas aku lagi ada acara ziarah& field study ke Yogyakarta kebetulan mampir dulu kesini,Positive,masya allah tabarakallah alhamdulillah banget mengunjungi salah makam wali allah pengin banget makam salah wali dikabulkan pas acara ziarah field study yogyakarta mampir kesini,1.0
makam sunan kalijaga,"Masya Allah.... Alhamdulillah bisa ziarah ke makam sunan kalijaga,tempatnya bersih ..banyak melewati  pedagang souvenir ketika menuju ke makam..",Positive,masya allah alhamdulillah ziarah makam sunan kalijaga tempatnya bersih melewati pedagang souvenir makam,1.0
makam sunan kalijaga,"Mengajarkan si kecil dengan berwisata religius di makam raden sahid, sunan kalijaga demak.

alsaWlamu aaalaykum dara qawmin muw'miniyna wa inaW in shaa llhu bikum laHiquwna . allWhumaW la taHrimna 'ajrahum wa la taftinanW baaadahum waGfir lana wa lahum . miyn",Positive,mengajarkan berwisata religius makam raden sahid sunan kalijaga demak alsawlamu aaalaykum dara qawmin muw miniyna wa inaw shaa llhu bikum lahiquwna allwhumaw tahrimna ajrahum wa taftinanw baaadahum wagfir lana wa lahum miyn,1.0
makam sunan kalijaga,"Salah satu destinasi wisata religi makam Kanjeng Sunan Kalijaga. Tempatnya sangat luas, banyak sekali makam yang berjejer disekitar makam utama. Sebelum memasuki makam, akan dilewatkan lorong penjual oleh-oleh khas setempat.
Bagi rombongan bus yang ingin sekalian ke makam Raden Fattah, maka bus hanya boleh parkir di satu tempat saja. Sementara untuk pulang pergi ke dua makam tersebut, disediakan fasilitas ojek atau angkutan dengan tarif 15.000",Positive,salah destinasi wisata religi makam kanjeng sunan kalijaga tempatnya luas makam berjejer disekitar makam utama memasuki makam dilewatkan lorong penjual khas rombongan bus makam raden fattah bus parkir pulang pergi makam disediakan fasilitas ojek angkutan tarif,1.0
makam sunan kalijaga,"Sudah berkali kali datang kesini, apalagi sekarang ada tol demak yg gerbang pintunya langsung dekat dengan area makam

Untuk saran sih : tempat parkirnya diperluas, sama akses ke komplek makam mungkin jalanya perlu dilebarkan",Positive,berkali kali kesini tol demak gerbang pintunya langsung area makam saran parkirnya diperluas akses komplek makam jalanya dilebarkan,1.0
makam sunan kalijaga,"Salah satu tempat yg sering saya kunjungi sunan kalijaga, sayang untuk penjagaan keamanan di makam sangat kurang, pernah kehilangan hp saat berdesak desakkan di sana. Jadi tetap hati hati di tempat mana saja. Padahal setiap pintu ada yg ketok ketok.",Negative,salah kunjungi sunan kalijaga sayang penjagaan keamanan makam kurang kehilangan hp berdesak desakkan hati hati pintu ketok ketok,0.0
makam sunan kalijaga,"PETUGASNYA TOLONG YG RAMAH, JANGAN TERIAK""!!! Orang suruh absen saja teriak"", sediakan kotak di atas meja, kalau memang nyuruhnya bayar seikhlasnya, bukan malah ada tumpukan uang 50.000 di atas meja, biar keliatan apa coba!!!
Komplotan ladang bisnis!!!
Na'udzubillahimindzalik.

Itu makam waliyullah, tapi adab petugasnya kayak preman!!!
Padahal saya juga tidak rombongan, drpada teriak"", saya mengalah saja. Bolak balik sudah saya pantau tuh petugasnya, tp tetap saja ulahnya masih PRIMITIF!!!

SANGAT TIDAK RAMAH!!!",Negative,petugasnya tolong ramah jangan teriak orang suruh absen teriak sediakan kotak meja nyuruhnya bayar seikhlasnya bukan tumpukan uang meja biar coba komplotan ladang bisnis udzubillahimindzalik makam waliyullah adab petugasnya kayak preman tidak rombongan teriak mengalah bolak pantau tuh petugasnya ulahnya primitif tidak ramah,0.0
makam sunan kalijaga,"Makam Raden Sahid atau yang lebih dikenal dengan Sunan Kalijaga.

Sunan Kalijaga merupakan Waliyullah yang tergabung dalam anggota dewan Walisongo. Beliau dikenal sebagai wali yang berperan penting dalam penyebaran agama Islam di Pulau Jawa. Selain menjadi Ulama ia juga menjadi penasihat keraton, seniman, dan arsitek yang ulung. Ia sangat toleran pada budaya lokal.

Alhamdulillah kemarin 24 Februari 2024 kesana ramai sekali  masjid rapih dan bersih, menuju area ke makam juga sangat bersih dan nyaman.

Untuk parkir Big Bus Rp. 130.000",Positive,makam raden sahid dikenal sunan kalijaga sunan kalijaga waliyullah tergabung anggota dewan walisongo beliau dikenal wali berperan penyebaran agama islam pulau jawa ulama penasihat keraton seniman arsitek ulung toleran budaya lokal alhamdulillah kemarin februari kesana ramai masjid rapi bersih area makam bersih nyaman parkir big bus rp,1.0
makam sunan kalijaga,"ramai tapi tertata rapi, sandal di bawa masuk, jangan lupa bawa kresek, biar tidak kesulitan saat mau pulang.

tempat wudhu dan air bersih, toilet gratis.
belum tersedia dan tempatnya rata-rata kurang bersih.

mohon di tambah fasilitas toilet dan wudhu gratis dengan air yang melimpah. terutama untuk wudhu.
agar jamaah bisa menyucikan diri ketika berziarah kubur.",Negative,ramai tertata rapi sandal bawa masuk jangan lupa bawa kresek biar tidak kesulitan pulang wudhu air bersih toilet gratis tersedia tempatnya kurang bersih mohon fasilitas toilet wudhu gratis air melimpah wudhu jamaah menyucikan berziarah kubur,0.0
makam sunan kalijaga,bersih rapi dan selalu di rawat,Positive,bersih rapi rawat,1.0
